ID,name,handedness,height,weight,avg,HR
432,Julio Gonzalez,Right,71,162,0.235,4
433,Bobby Klaus,Right,70,170,0.208,6
434,Manny Sanguillen,Right,72,193,0.296,65
435,Gates Brown,Left,71,220,0.257,84
436,Johnny Ray,Both,71,170,0.29,53
437,Jesus Alou,Right,74,190,0.28,32
438,Ken Landreaux,Left,70,165,0.268,91
439,Enos Cabell,Right,76,170,0.277,60
441,Billy North,Both,71,185,0.261,20
442,Juan Beniquez,Right,71,150,0.274,79
443,Frank Fernandez,Right,72,185,0.199,39
444,Bombo Rivera,Right,70,187,0.265,10
445,Steve Brye,Right,72,190,0.258,30
446,Ron Jackson,Right,72,200,0.259,56
447,Roger Metzger,Both,72,165,0.231,5
448,Rufino Linares,Right,72,170,0.27,11
449,Ray Webster,Left,72,185,0.244,17
450,Bob Kearney,Right,72,190,0.233,27
451,Fergie Jenkins,Right,77,205,0.165,13
452,Dick Dietz,Right,73,195,0.261,66
453,Ted Cox,Right,75,195,0.245,10
454,Bobby Mitchell,Left,70,170,0.243,3
455,Bobby Mitchell,Right,75,185,0.235,21
456,Barry Evans,Right,73,180,0.251,2
457,Mickey Brantley,Right,70,180,0.259,32
458,Al Gallagher,Right,72,180,0.263,11
460,Hector Cruz,Right,71,170,0.225,39
462,Woody Woodward,Right,74,180,0.236,1
463,Ted Martinez,Right,72,165,0.24,7
464,Jim Anderson,Right,72,170,0.218,13
465,Lenn Sakata,Right,69,160,0.23,25
466,Dave Duncan,Right,74,190,0.214,109
468,Dick Billings,Right,73,195,0.227,16
470,Bruce Bochte,Left,75,195,0.282,100
471,Bernie Carbo,Left,71,173,0.264,96
472,Vic Davalillo,Left,67,150,0.279,36
473,Burt Hooton,Right,73,210,0.123,4
476,Fernando Gonzalez,Right,70,165,0.235,17
477,Jim Sundberg,Right,72,190,0.248,95
478,Andy Kosco,Right,75,205,0.236,73
479,Steve Huntz,Both,73,204,0.206,16
481,Lenny Faedo,Right,72,170,0.251,5
482,John Lowenstein,Left,72,175,0.253,116
483,Don Kessinger,Both,73,170,0.252,14
